,,,,,,pause
sw2510A-ms98-a-0006,A.9,13.353,16.126125,[silence],2.773125,4
sw2510B-ms98-a-0006,B.8,13.420125,13.730125,mixed,0.31,
sw2510B-ms98-a-0006,B.8,13.730125,14.050125,breed,0.32,
sw2510B-ms98-a-0006,B.8,14.050125,14.390125,he's,0.34,
sw2510B-ms98-a-0006,B.8,14.390125,14.700125,part,0.31,
sw2510B-ms98-a-0006,B.8,14.700125,15.100125,Collie,0.4,
sw2510B-ms98-a-0006,B.8,15.100125,15.350125,part,0.25,
sw2510B-ms98-a-0006,B.8,15.350125,15.730125,Shepherd,0.38,
sw2510B-ms98-a-0006,B.8,15.730125,15.820125,and,0.09,
sw2510B-ms98-a-0006,B.8,15.820125,16.090125,part,0.27,
sw2510B-ms98-a-0006,B.8,16.090125,16.4975,Chow,0.407375,
sw2510A-ms98-a-0007,A.9,16.126125,16.65325,[silence],0.527125,4
sw2510B-ms98-a-0006,B.10,16.4975,16.90425,[silence],0.40675,4
sw2510A-ms98-a-0007,A.9,16.65325,16.844625,[noise],0.191375,
sw2510A-ms98-a-0007,A.9,16.844625,17.059375,Oh,0.21475,
sw2510B-ms98-a-0007,B.10,16.90425,17.21425,[silence],0.31,4
sw2510A-ms98-a-0007,A.9,17.059375,17.22,so,0.160625,
sw2510B-ms98-a-0007,B.10,17.21425,17.39425,More,0.18,
sw2510A-ms98-a-0007,A.9,17.22,17.3425,you,0.1225,
sw2510A-ms98-a-0007,A.11,17.3425,17.492875,---,0.150375,
sw2510B-ms98-a-0007,B.10,17.39425,17.76425,Collie,0.37,
sw2510A-ms98-a-0007,A.11,17.492875,17.811625,[vocalized-noise],0.31875,
sw2510B-ms98-a-0007,B.10,17.76425,17.87425,and,0.11,
sw2510A-ms98-a-0007,A.11,17.811625,18.269625,[silence],0.458,4
sw2510B-ms98-a-0007,B.10,17.87425,18.21425,Shepherd,0.34,
sw2510B-ms98-a-0007,B.10,18.21425,18.35425,than,0.14,
sw2510A-ms98-a-0008,A.11,18.269625,20.466625,[silence],2.197,4
sw2510B-ms98-a-0007,B.10,18.35425,18.63425,Chow,0.28,
sw2510B-ms98-a-0007,B.10,18.63425,18.74425,the,0.11,
sw2510B-ms98-a-0007,B.10,18.74425,18.90425,only,0.16,
sw2510B-ms98-a-0007,B.10,18.90425,19.18425,Chow,0.28,
sw2510B-ms98-a-0007,B.10,19.18425,19.35425,he's,0.17,
sw2510B-ms98-a-0007,B.10,19.35425,19.57425,got,0.22,
sw2510B-ms98-a-0007,B.10,19.57425,19.84875,is,0.2745,
sw2510B-ms98-a-0007,B.10,19.84875,19.96425,is,0.1155,
sw2510B-ms98-a-0007,B.10,19.96425,20.14425,his,0.18,
sw2510B-ms98-a-0007,B.10,20.14425,20.744125,tongue,0.599875,
sw2510A-ms98-a-0009,A.11,20.466625,20.79325,[silence],0.326625,4
sw2510B-ms98-a-0007,B.12,20.744125,21.762625,[silence],1.0185,4
sw2510A-ms98-a-0009,A.11,20.79325,21.236625,Oh,0.443375,
sw2510A-ms98-a-0009,A.11,21.236625,21.426625,he's,0.19,
sw2510A-ms98-a-0009,A.11,21.426625,21.536625,got,0.11,
sw2510A-ms98-a-0009,A.11,21.536625,21.566625,a,0.03,
sw2510A-ms98-a-0009,A.11,21.566625,21.736625,blue,0.17,
sw2510A-ms98-a-0009,A.11,21.736625,22.213,tongue,0.476375,
sw2510B-ms98-a-0008,B.12,21.762625,22.269375,[silence],0.50675,4
sw2510A-ms98-a-0009,A.13,22.213,22.695,[silence],0.482,4
sw2510B-ms98-a-0008,B.12,22.269375,22.71875,Yeah,0.449375,
sw2510A-ms98-a-0009,A.13,22.695,23.487625,Oh,0.792625,
sw2510B-ms98-a-0008,B.14,22.71875,23.185875,[silence],0.467125,2
sw2510B-ms98-a-0008,B.14,23.185875,23.262625,He's,0.07675,
sw2510B-ms98-a-0008,B.14,23.262625,23.372625,got,0.11,
sw2510B-ms98-a-0008,B.14,23.372625,23.522625,little,0.15,
sw2510A-ms98-a-0009,A.15,23.487625,24.154125,[silence],0.6665,4
sw2510B-ms98-a-0008,B.14,23.522625,23.922625,spots,0.4,
sw2510B-ms98-a-0008,B.14,23.922625,24.092625,on,0.17,
sw2510B-ms98-a-0008,B.14,24.092625,24.242625,them,0.15,
sw2510A-ms98-a-0010,A.15,24.154125,24.78325,[silence],0.629125,4
sw2510B-ms98-a-0008,B.16,24.242625,24.748625,[silence],0.506,2
sw2510B-ms98-a-0009,B.16,24.748625,31.727625,[silence],6.979,4
sw2510A-ms98-a-0010,A.15,24.78325,24.924125,We,0.140875,
sw2510A-ms98-a-0010,A.15,24.924125,25.054125,have,0.13,
sw2510A-ms98-a-0010,A.15,25.054125,25.314125,two,0.26,
sw2510A-ms98-a-0010,A.15,25.314125,25.959375,Chows,0.64525,
sw2510A-ms98-a-0010,A.15,25.959375,26.143875,[silence],0.1845,2
sw2510A-ms98-a-0010,A.15,26.143875,26.868,and,0.724125,
sw2510A-ms98-a-0010,A.15,26.868,27.594125,[noise],0.726125,
sw2510A-ms98-a-0010,A.15,27.594125,27.704125,a,0.11,
sw2510A-ms98-a-0010,A.15,27.704125,28.204125,miniature,0.5,
sw2510A-ms98-a-0010,A.15,28.204125,28.95775,Schnauzer,0.753625,
sw2510A-ms98-a-0010,A.15,28.95775,29.648125,[silence],0.690375,2
sw2510A-ms98-a-0010,A.15,29.648125,30.129375,and,0.48125,
sw2510A-ms98-a-0010,A.15,30.129375,30.325125,[silence],0.19575,2
sw2510A-ms98-a-0010,A.15,30.325125,30.947125,recently,0.622,
sw2510A-ms98-a-0010,A.15,30.947125,31.274125,added,0.327,
sw2510A-ms98-a-0010,A.15,31.274125,31.374125,a,0.1,
sw2510A-ms98-a-0010,A.15,31.374125,31.67575,guinea,0.301625,
sw2510A-ms98-a-0010,A.15,31.67575,32.192875,pig,0.517125,
sw2510B-ms98-a-0010,B.16,31.727625,32.169,[silence],0.441375,2
sw2510B-ms98-a-0010,B.16,32.169,33.38375,[laughter],1.21475,
sw2510A-ms98-a-0010,A.15,32.192875,33.370125,[laughter],1.17725,
sw2510A-ms98-a-0010,A.15,33.370125,33.644125,which,0.274,
sw2510B-ms98-a-0010,B.16,33.38375,33.73075,[silence],0.347,4
sw2510A-ms98-a-0010,A.15,33.644125,33.974125,wasn't,0.33,
sw2510B-ms98-a-0011,B.16,33.73075,42.807125,[silence],9.076375,4
sw2510A-ms98-a-0010,A.15,33.974125,34.164125,by,0.19,
sw2510A-ms98-a-0010,A.15,34.164125,34.404125,my,0.24,
sw2510A-ms98-a-0010,A.15,34.404125,34.864125,choice,0.46,
sw2510A-ms98-a-0010,A.15,34.864125,35.110875,but,0.24675,
sw2510A-ms98-a-0010,A.15,35.110875,35.597625,[silence],0.48675,2
sw2510A-ms98-a-0011,A.15,35.597625,36.058,[silence],0.460375,1
sw2510A-ms98-a-0011,A.15,36.058,36.147625,I,0.089625,
sw2510A-ms98-a-0011,A.15,36.147625,36.327625,was,0.18,
sw2510A-ms98-a-0011,A.15,36.327625,36.527625,out,0.2,
sw2510A-ms98-a-0011,A.15,36.527625,36.89325,ruled,0.365625,
sw2510A-ms98-a-0011,A.15,36.89325,37.41425,[silence],0.521,2
sw2510A-ms98-a-0011,A.15,37.41425,37.987,so,0.57275,
sw2510A-ms98-a-0011,A.15,37.987,38.842,[noise],0.855,
sw2510A-ms98-a-0011,A.15,38.842,39.097625,but,0.255625,
sw2510A-ms98-a-0011,A.15,39.097625,39.167625,the,0.07,
sw2510A-ms98-a-0011,A.15,39.167625,39.58675,dogs,0.419125,
sw2510A-ms98-a-0011,A.15,39.58675,39.692875,are,0.106125,
sw2510A-ms98-a-0011,A.15,39.692875,39.79375,---,0.100875,
sw2510A-ms98-a-0011,A.15,39.79375,40.2495,[silence],0.45575,2
sw2510A-ms98-a-0011,A.15,40.2495,40.577625,mainly,0.328125,
sw2510A-ms98-a-0011,A.15,40.577625,40.877625,mine,0.3,
sw2510A-ms98-a-0011,A.15,40.877625,40.967625,and,0.09,
sw2510A-ms98-a-0011,A.15,40.967625,41.037625,my,0.07,
sw2510A-ms98-a-0011,A.15,41.037625,41.377625,husb-,0.34,
sw2510A-ms98-a-0011,A.15,41.377625,41.467625,but,0.09,
sw2510A-ms98-a-0011,A.15,41.467625,41.517625,I,0.05,
sw2510A-ms98-a-0011,A.15,41.517625,41.757625,just,0.24,
sw2510A-ms98-a-0011,A.15,41.757625,41.927625,love,0.17,
sw2510A-ms98-a-0011,A.15,41.927625,42.057625,them,0.13,
sw2510A-ms98-a-0011,A.15,42.057625,42.147625,to,0.09,
sw2510A-ms98-a-0011,A.15,42.147625,42.681375,death,0.53375,
sw2510A-ms98-a-0011,A.17,42.681375,42.812875,[silence],0.1315,4
sw2510B-ms98-a-0012,B.16,42.807125,43.144875,[silence],0.33775,4
sw2510A-ms98-a-0012,A.17,42.812875,44.3675,[silence],1.554625,4
sw2510B-ms98-a-0012,B.16,43.144875,43.347125,Was,0.20225,
sw2510B-ms98-a-0012,B.16,43.347125,43.407125,the,0.06,
sw2510B-ms98-a-0012,B.16,43.407125,43.647125,guinea,0.24,
sw2510B-ms98-a-0012,B.16,43.647125,43.907125,pig,0.26,
sw2510B-ms98-a-0012,B.16,43.907125,44.207125,for,0.3,
sw2510B-ms98-a-0012,B.16,44.207125,44.667125,your,0.46,
sw2510A-ms98-a-0013,A.17,44.3675,44.77075,[silence],0.40325,4
sw2510B-ms98-a-0012,B.18,44.667125,44.767125,for,0.1,
sw2510B-ms98-a-0012,B.18,44.767125,44.857125,your,0.09,
sw2510A-ms98-a-0013,A.17,44.77075,45.2075,Daughter,0.43675,
sw2510B-ms98-a-0012,B.18,44.857125,45.217125,child,0.36,
sw2510A-ms98-a-0013,A.17,45.2075,45.783375,yes,0.575875,
sw2510B-ms98-a-0012,B.20,45.217125,45.8525,[silence],0.635375,4
sw2510A-ms98-a-0013,A.19,45.783375,47.577625,[laughter],1.79425,
sw2510B-ms98-a-0013,B.20,45.8525,46.27975,[silence],0.42725,2
sw2510B-ms98-a-0013,B.20,46.27975,46.971375,[noise],0.691625,
sw2510B-ms98-a-0013,B.20,46.971375,47.395625,[silence],0.42425,2
sw2510B-ms98-a-0014,B.20,47.395625,63.98475,[silence],16.589125,4
sw2510A-ms98-a-0013,A.19,47.577625,47.9375,Yes,0.359875,
sw2510A-ms98-a-0013,A.19,47.9375,48.0775,as,0.14,
sw2510A-ms98-a-0013,A.19,48.0775,48.2475,if,0.17,
sw2510A-ms98-a-0013,A.19,48.2475,48.3075,the,0.06,
sw2510A-ms98-a-0013,A.19,48.3075,48.7075,dogs,0.4,
sw2510A-ms98-a-0013,A.19,48.7075,48.9175,weren't,0.21,
sw2510A-ms98-a-0013,A.19,48.9175,49.48575,enough,0.56825,
sw2510A-ms98-a-0013,A.19,49.48575,50.146125,[silence],0.660375,2
sw2510A-ms98-a-0013,A.19,50.146125,50.3575,had,0.211375,
sw2510A-ms98-a-0013,A.19,50.3575,50.4175,to,0.06,
sw2510A-ms98-a-0013,A.19,50.4175,50.722625,have,0.305125,
sw2510A-ms98-a-0013,A.19,50.722625,51.555,[noise],0.832375,
sw2510A-ms98-a-0013,A.19,51.555,51.6875,a,0.1325,
sw2510A-ms98-a-0013,A.19,51.6875,51.9275,guinea,0.24,
sw2510A-ms98-a-0013,A.19,51.9275,52.3275,pig,0.4,
sw2510A-ms98-a-0013,A.19,52.3275,52.7475,so,0.42,
sw2510A-ms98-a-0013,A.19,52.7475,52.8925,[silence],0.145,2
sw2510A-ms98-a-0014,A.19,52.8925,53.34325,[silence],0.45075,2
sw2510A-ms98-a-0014,A.19,53.34325,53.8525,anyway,0.50925,
sw2510A-ms98-a-0014,A.19,53.8525,54.376125,she's,0.523625,
sw2510A-ms98-a-0014,A.19,54.376125,54.7565,[silence],0.380375,2
sw2510A-ms98-a-0014,A.19,54.7565,54.9725,she,0.216,
sw2510A-ms98-a-0014,A.19,54.9725,55.3425,enjoys,0.37,
sw2510A-ms98-a-0014,A.19,55.3425,55.4825,her,0.14,
sw2510A-ms98-a-0014,A.19,55.4825,55.7325,though,0.25,
sw2510A-ms98-a-0014,A.19,55.7325,55.8925,so,0.16,
sw2510A-ms98-a-0014,A.19,55.8925,56.3325,that's,0.44,
sw2510A-ms98-a-0014,A.19,56.3325,56.5925,that's,0.26,
sw2510A-ms98-a-0014,A.19,56.5925,56.7125,what,0.12,
sw2510A-ms98-a-0014,A.19,56.7125,57.7825,matters,1.07,
sw2510A-ms98-a-0014,A.19,57.7825,58.1425,But,0.36,
sw2510A-ms98-a-0014,A.19,58.1425,58.4625,um,0.32,
sw2510A-ms98-a-0014,A.19,58.4625,58.6225,our,0.16,
sw2510A-ms98-a-0014,A.19,58.6225,59.306,Chows,0.6835,
sw2510A-ms98-a-0014,A.19,59.306,59.5625,we've,0.2565,
sw2510A-ms98-a-0014,A.19,59.5625,59.8325,had,0.27,
sw2510A-ms98-a-0014,A.19,59.8325,60.271875,them,0.439375,
sw2510A-ms98-a-0014,A.19,60.271875,60.713375,[silence],0.4415,2
sw2510A-ms98-a-0015,A.19,60.713375,61.297875,[silence],0.5845,2
sw2510A-ms98-a-0015,A.19,61.297875,61.533375,I'd,0.2355,
sw2510A-ms98-a-0015,A.19,61.533375,61.613375,say,0.08,
sw2510A-ms98-a-0015,A.19,61.613375,62.043375,right,0.43,
sw2510A-ms98-a-0015,A.19,62.043375,62.683375,around,0.64,
sw2510A-ms98-a-0015,A.19,62.683375,63.193375,six,0.51,
sw2510A-ms98-a-0015,A.19,63.193375,63.423375,maybe,0.23,
sw2510A-ms98-a-0015,A.19,63.423375,63.763375,seven,0.34,
sw2510A-ms98-a-0015,A.19,63.763375,64.113375,years,0.35,
sw2510B-ms98-a-0015,B.20,63.98475,64.39475,[silence],0.41,4
sw2510A-ms98-a-0015,A.19,64.113375,64.385625,and,0.27225,
sw2510A-ms98-a-0015,A.21,64.385625,64.852625,[silence],0.467,4
sw2510B-ms98-a-0015,B.20,64.39475,64.75275,Really,0.358,
sw2510B-ms98-a-0015,B.22,64.75275,65.304375,[silence],0.551625,4
sw2510A-ms98-a-0015,A.21,64.852625,65.133375,they're,0.28075,
sw2510A-ms98-a-0015,A.21,65.133375,65.595875,um,0.4625,
sw2510B-ms98-a-0016,B.22,65.304375,70.528,[silence],5.223625,4
sw2510A-ms98-a-0015,A.21,65.595875,65.981375,[silence],0.3855,2
sw2510A-ms98-a-0016,A.21,65.981375,66.471625,[silence],0.49025,2
sw2510A-ms98-a-0016,A.21,66.471625,67.111375,registered,0.63975,
sw2510A-ms98-a-0016,A.21,67.111375,67.211375,and,0.1,
sw2510A-ms98-a-0016,A.21,67.211375,67.3855,we've,0.174125,
sw2510A-ms98-a-0016,A.21,67.3855,67.50225,[silence],0.11675,2
sw2510A-ms98-a-0016,A.21,67.50225,67.681375,been,0.179125,
sw2510A-ms98-a-0016,A.21,67.681375,68.091375,breeding,0.41,
sw2510A-ms98-a-0016,A.21,68.091375,68.562375,them,0.471,
sw2510A-ms98-a-0016,A.21,68.562375,69.07075,[silence],0.508375,2
sw2510A-ms98-a-0016,A.21,69.07075,69.311375,She's,0.240625,
sw2510A-ms98-a-0016,A.21,69.311375,69.501375,had,0.19,
sw2510A-ms98-a-0016,A.21,69.501375,69.751375,about,0.25,
sw2510A-ms98-a-0016,A.21,69.751375,69.991375,four,0.24,
sw2510A-ms98-a-0016,A.21,69.991375,70.21225,or,0.220875,
sw2510A-ms98-a-0016,A.21,70.21225,70.441375,five,0.229125,
sw2510A-ms98-a-0016,A.21,70.441375,70.951375,litters,0.51,
sw2510B-ms98-a-0017,B.22,70.528,71.008,[silence],0.48,4
sw2510A-ms98-a-0016,A.23,70.951375,71.187375,[silence],0.236,4
sw2510B-ms98-a-0017,B.22,71.008,71.142,Oh,0.134,
sw2510B-ms98-a-0017,B.22,71.142,71.5,my,0.358,
sw2510A-ms98-a-0017,A.23,71.187375,72.422,[silence],1.234625,4
sw2510B-ms98-a-0017,B.22,71.5,71.728,my,0.228,
sw2510B-ms98-a-0017,B.22,71.728,72.158,husband's,0.43,
sw2510B-ms98-a-0017,B.22,72.158,72.468,always,0.31,
sw2510A-ms98-a-0018,A.23,72.422,72.827375,[silence],0.405375,4
sw2510B-ms98-a-0017,B.22,72.468,72.878,wanted,0.41,
sw2510A-ms98-a-0018,A.23,72.827375,73.511125,Oh,0.68375,
sw2510B-ms98-a-0017,B.22,72.878,72.918,a,0.04,
sw2510B-ms98-a-0017,B.22,72.918,73.398,Chow,0.48,
sw2510B-ms98-a-0017,B.22,73.398,73.655625,but,0.257625,
sw2510A-ms98-a-0018,A.27,73.511125,73.86775,[silence],0.356625,4
sw2510A-ms98-a-0018,A.25,73.511125,73.511125,Right,0,
sw2510B-ms98-a-0017,B.22,73.655625,73.87025,[silence],0.214625,4
sw2510A-ms98-a-0019,A.27,73.86775,76.392875,[silence],2.525125,4
sw2510B-ms98-a-0017,B.22,73.87025,74.058,I'm,0.18775,
sw2510B-ms98-a-0017,B.22,74.058,74.258,kind,0.2,
sw2510B-ms98-a-0017,B.22,74.258,74.338,of,0.08,
sw2510B-ms98-a-0017,B.22,74.338,74.928,concerned,0.59,
sw2510B-ms98-a-0017,B.22,74.928,75.438,about,0.51,
sw2510B-ms98-a-0017,B.22,75.438,75.838,um,0.4,
sw2510B-ms98-a-0017,B.22,75.838,75.958,with,0.12,
sw2510B-ms98-a-0017,B.22,75.958,76.211,having,0.253,
sw2510B-ms98-a-0017,B.22,76.211,76.848875,cats,0.637875,
sw2510A-ms98-a-0020,A.27,76.392875,77.09925,[silence],0.706375,4
sw2510B-ms98-a-0017,B.24,76.848875,76.949625,[silence],0.10075,2
sw2510B-ms98-a-0018,B.24,76.949625,77.309625,[silence],0.36,4
sw2510A-ms98-a-0020,A.27,77.09925,77.652875,Uh-huh,0.553625,
sw2510B-ms98-a-0018,B.24,77.309625,77.419625,and,0.11,
sw2510B-ms98-a-0018,B.24,77.419625,77.725125,how,0.3055,
sw2510A-ms98-a-0020,A.29,77.652875,78.1035,[silence],0.450625,4
sw2510B-ms98-a-0018,B.24,77.725125,77.929625,how,0.2045,
sw2510B-ms98-a-0018,B.24,77.929625,78.049625,they,0.12,
sw2510B-ms98-a-0018,B.24,78.049625,78.559625,socialize,0.51,
sw2510A-ms98-a-0021,A.29,78.1035,82.5185,[silence],4.415,4
sw2510B-ms98-a-0018,B.24,78.559625,78.659625,with,0.1,
sw2510B-ms98-a-0018,B.24,78.659625,79.328,cats,0.668375,
sw2510B-ms98-a-0018,B.24,79.328,79.8105,[silence],0.4825,2
sw2510B-ms98-a-0018,B.24,79.8105,80.25275,Um,0.44225,
sw2510B-ms98-a-0018,B.24,80.25275,80.469625,which,0.216875,
sw2510B-ms98-a-0018,B.24,80.469625,80.729625,is,0.26,
sw2510B-ms98-a-0018,B.24,80.729625,81.05725,[silence],0.327625,2
sw2510B-ms98-a-0018,B.24,81.05725,81.169625,one,0.112375,
sw2510B-ms98-a-0018,B.24,81.169625,81.259625,of,0.09,
sw2510B-ms98-a-0018,B.24,81.259625,81.319625,the,0.06,
sw2510B-ms98-a-0018,B.24,81.319625,81.619625,reasons,0.3,
sw2510B-ms98-a-0018,B.24,81.619625,81.829625,why,0.21,
sw2510B-ms98-a-0018,B.24,81.829625,81.969625,we,0.14,
sw2510B-ms98-a-0018,B.24,81.969625,82.179625,got,0.21,
sw2510B-ms98-a-0018,B.24,82.179625,82.209625,a,0.03,
sw2510B-ms98-a-0018,B.24,82.209625,82.519625,mixed,0.31,
sw2510A-ms98-a-0022,A.29,82.5185,82.9385,[silence],0.42,4
sw2510B-ms98-a-0018,B.24,82.519625,83.038375,breed,0.51875,
sw2510A-ms98-a-0022,A.29,82.9385,83.478625,---,0.540125,
sw2510B-ms98-a-0018,B.26,83.038375,83.384875,[silence],0.3465,2
sw2510B-ms98-a-0018,B.26,83.384875,84.039625,Um,0.65475,
sw2510A-ms98-a-0022,A.29,83.478625,83.90675,[silence],0.428125,2
sw2510A-ms98-a-0023,A.29,83.90675,85.653625,[silence],1.746875,4
sw2510B-ms98-a-0018,B.26,84.039625,84.589625,because,0.55,
sw2510B-ms98-a-0018,B.26,84.589625,84.72,we,0.130375,
sw2510B-ms98-a-0018,B.26,84.72,84.848125,[silence],0.128125,2
sw2510B-ms98-a-0018,B.26,84.848125,84.939625,---,0.0915,
sw2510B-ms98-a-0018,B.26,84.939625,85.159625,thought,0.22,
sw2510B-ms98-a-0018,B.26,85.159625,85.239625,they,0.08,
sw2510B-ms98-a-0018,B.26,85.239625,85.409625,would,0.17,
sw2510B-ms98-a-0018,B.26,85.409625,85.909625,socialize,0.5,
sw2510A-ms98-a-0024,A.29,85.653625,86.1615,[silence],0.507875,4
sw2510B-ms98-a-0018,B.26,85.909625,86.425375,easier,0.51575,
sw2510A-ms98-a-0024,A.29,86.1615,86.66475,---,0.50325,
sw2510B-ms98-a-0018,B.28,86.425375,86.654625,[silence],0.22925,2
sw2510B-ms98-a-0019,B.28,86.654625,86.984625,[silence],0.33,4
sw2510A-ms98-a-0024,A.29,86.66475,87.10475,[silence],0.44,4
sw2510B-ms98-a-0019,B.28,86.984625,87.556625,um,0.572,
sw2510A-ms98-a-0025,A.29,87.10475,90.40575,[silence],3.301,4
sw2510B-ms98-a-0019,B.28,87.556625,88.027375,[silence],0.47075,2
sw2510B-ms98-a-0019,B.28,88.027375,88.264625,my,0.23725,
sw2510B-ms98-a-0019,B.28,88.264625,88.614625,husband,0.35,
sw2510B-ms98-a-0019,B.28,88.614625,88.724625,had,0.11,
sw2510B-ms98-a-0019,B.28,88.724625,89.244625,originally,0.52,
sw2510B-ms98-a-0019,B.28,89.244625,89.91925,wanted,0.674625,
sw2510B-ms98-a-0019,B.28,89.91925,90.044625,an,0.125375,
sw2510B-ms98-a-0019,B.28,90.044625,90.735625,---,0.691,
sw2510A-ms98-a-0026,A.29,90.40575,90.93325,[silence],0.5275,4
sw2510B-ms98-a-0019,B.28,90.735625,91.05575,[silence],0.320125,4
sw2510A-ms98-a-0026,A.29,90.93325,91.394375,---,0.461125,
sw2510B-ms98-a-0019,B.28,91.05575,91.464625,and,0.408875,
sw2510A-ms98-a-0026,A.29,91.394375,91.82275,[silence],0.428375,4
sw2510B-ms98-a-0019,B.28,91.464625,91.654625,his,0.19,
sw2510B-ms98-a-0019,B.28,91.654625,92.054625,brother,0.4,
sw2510A-ms98-a-0027,A.29,91.82275,92.78375,[silence],0.961,4
sw2510B-ms98-a-0019,B.28,92.054625,92.344625,has,0.29,
